,svr_lr,svr_rbf,dtr,rtr,etr,abr,br,gbr,xgbr,mlpr
MSE,12.81518429936332,12.235031510887708,76.03754245238095,9.482630140476191,12.057663068566738,12.081494050323418,10.314692617380954,1.9116809489700264,2.0458718512531866,1.6087546763072715
RMSE,3.579830205381719,3.497860990789615,8.71995082855293,3.079387949004833,3.472414587656079,3.4758443650893542,3.2116495165850454,1.382635508357147,1.430339767766102,1.268366932834214
MAE,3.2358979966266603,3.1550613006272448,2.878261904761905,1.2526238095238094,1.3362260664682548,2.883648306103906,1.2303928571428573,1.0798805546458172,1.1211201335362029,1.0176954361105188
MDAE,3.2358979966266603,3.1550613006272448,2.878261904761905,1.2526238095238094,1.3362260664682548,2.883648306103906,1.2303928571428573,1.0798805546458172,1.1211201335362029,1.0176954361105188
RANK,2.7110361606033715,2.533503702710393,2.8729168983022344,1.0837924689942997,1.1208785048931509,3.1223530942704714,1.1007433809846523,0.9803251862046237,0.9638324356878254,1.3284505340727433
ACC,0.7175191498116953,0.7418229751379429,-0.9816349962232722,0.767341544748725,0.7079828129158077,0.856097702235211,0.7393136820725613,0.9510601574871439,0.9474458482977717,0.9581795906851673
R2,0.6496589534765262,0.6655191494994703,-1.0787115952100415,0.7407641989686786,0.6703680415833754,0.6697165510629673,0.7180173049621514,0.9477385351130362,0.9440700290625889,0.9560199226377866
