,svr_lr,svr_rbf,dtr,rtr,etr,abr,br,gbr,xgbr,mlpr
MSE,7.896454158860379,7.130587268265121,3.102786444444445,1.2733186075000003,1.228684595498164,14.111716611109507,1.3939120172222224,4.011563382964072,4.241856749048266,6.512682658431318
RMSE,2.8100630168842087,2.670315949146303,1.7614728054796773,1.128414200327167,1.1084604618560663,3.7565564831517584,1.1806405114268366,2.002888759508144,2.059576837374189,2.5519958186547482
MAE,2.422434548208992,2.2529990668745103,1.282111111111111,0.8965527777777782,0.9038414351851816,3.1863727435757205,0.9512944444444447,1.7281047553104476,1.795931470023262,2.1543386711348274
MDAE,2.422434548208992,2.2529990668745103,1.282111111111111,0.8965527777777782,0.9038414351851816,3.1863727435757205,0.9512944444444447,1.7281047553104476,1.795931470023262,2.1543386711348274
RANK,1.4434202031147403,1.3550714595528208,0.6074112576789721,0.4362285583757999,0.3923119236608998,2.3076680494450623,0.4513147598260686,0.7786423612053981,0.8087496822959922,1.063986230325479
ACC,0.9016981393071413,0.8996501956437282,0.9652757646050116,0.9903549959178058,0.9893027718413371,0.7701904920700233,0.9885224255971666,0.95414666939299,0.9499950296500836,0.9419990224866529
R2,0.8701500682389025,0.8827440454191906,0.9489775283975668,0.9790614456859111,0.9797954109943983,0.7679457890693347,0.9770783978889834,0.9340335268142202,0.9302465640497354,0.8929049188704418
