,svr_lr,svr_rbf,dtr,rtr,etr,abr,br,gbr,xgbr,mlpr
MSE,17.94808668195227,5.087769353937192,3.8834209250000002,3.365727140125,2.4157398313625777,36.62920299451186,2.8143710621250007,3.443527336685726,3.6093552060934706,4.468802618964057
RMSE,4.236518226321264,2.2556084221196713,1.9706397248101948,1.8345918183958523,1.5542650454033178,6.05220645669923,1.6776087333240133,1.855674361704048,1.8998303098154505,2.1139542613226183
MAE,3.581415184876394,1.8121198327456867,0.9341000000000002,0.94408125,0.8652070312500003,5.602437145374823,0.8801687499999999,1.2083932852628985,1.228967658481002,1.4088306635390004
MDAE,3.581415184876394,1.8121198327456867,0.9341000000000002,0.94408125,0.8652070312500003,5.602437145374823,0.8801687499999999,1.2083932852628985,1.228967658481002,1.4088306635390004
RANK,36.71887622415276,7.731430036873904,4.237607400512567,4.164520061941564,4.878294818454549,52.00282248860172,3.962289062350913,3.3280456972622816,3.73502298170519,5.197739820966035
ACC,0.6934135409705854,0.8545062593755773,0.8826300920950196,0.898227194691383,0.9278761184710784,0.8021360432975906,0.9150506449491992,0.8972470974377809,0.8922493827053333,0.8681223041245764
R2,0.4571346216964367,0.8461131883308933,0.8825404174316821,0.89819880137821,0.9269325170601982,-0.1079022791086035,0.9148753492001241,0.8958456239121962,0.8908299244309902,0.8648347165189867
