,svr_lr,svr_rbf,dtr,rtr,etr,abr,br,gbr,xgbr,mlpr
MSE,4.617748465429349,5.00293683623289,1.8105775806451612,0.9871977445161295,0.6617896062799252,11.509432095127128,1.0952762148387103,2.526278957366597,2.6528239564033664,3.7932552892390548
RMSE,2.1488947078508405,2.2367245776431415,1.3455770437418888,0.9935782528397697,0.8135045213641564,3.3925553930816115,1.0465544490559058,1.5894272419228874,1.6287491999701387,1.94762811882532
MAE,1.7699075668930897,1.7119005733199313,0.9234516129032255,0.7390129032258065,0.6362457997311818,2.8163134288139524,0.8148709677419351,1.3036970367416816,1.3450207859623822,1.5412273090322575
MDAE,1.7699075668930897,1.7119005733199313,0.9234516129032255,0.7390129032258065,0.6362457997311818,2.8163134288139524,0.8148709677419351,1.3036970367416816,1.3450207859623822,1.5412273090322575
RANK,1.2644730925542897,1.9916698034183775,1.253358191923001,0.545634608872159,0.49636061752538463,6.275531979160839,0.7073032239345358,1.094663742692742,1.1297373307050373,0.8775172845896959
ACC,0.9562859486668036,0.951063389393761,0.9821814257796797,0.9924439697600226,0.9953028860046623,0.8855866681869421,0.990755918735064,0.9779298683952714,0.9770296453418228,0.9697992095735248
R2,0.9536992125463677,0.9498370435651633,0.9818458782765317,0.9901016624691149,0.993364432877021,0.8845983549909647,0.9890179918620684,0.9746697539007814,0.9734009249146237,0.9619661598678927
