,svr_lr,svr_rbf,dtr,rtr,etr,abr,br,gbr,xgbr,mlpr
RANK,3.7590095433104045,1.25647430326306,0.8867879427098799,0.5723927769629621,0.4642953214573671,6.4449338803929646,0.7702687862880576,0.6226150074679646,0.7120979000742763,0.9719069149310856
ACC,0.674724174673097,0.7948141124729085,0.8759970489362455,0.9583829507333592,0.9722518727446424,0.8100179615897187,0.9614018211751776,0.9548845914284901,0.9496763410693324,0.880255085372367
R2,0.6519015344172159,0.7931020465732377,0.8707202356016259,0.9490192427913728,0.9583413141558454,0.34453319291639084,0.9497773097864206,0.935615025033507,0.9312147957682819,0.8055871412621383
MSE,20.793821575946197,5.8135654210875085,2.6072144556962025,3.975255025705969,3.019139210901884,35.98485946265502,3.581480521166914,4.024485555785385,3.995930294132513,5.728537265209289
RMSE,4.560024295543412,2.4111336381643196,1.6146871076763456,1.9938041593160472,1.7375670378151986,5.998738155867033,1.8924799922765139,2.006112049658589,1.9989823146122412,2.3934362881032136
MAE,3.8040625236482986,1.9175579482977851,0.8735189873417722,1.1287481849332777,0.9022901244200859,5.5919682396755395,1.0754380583509988,1.3268551151361123,1.3345631993329978,1.5075806203778026
MDAE,3.8040625236482986,1.9175579482977851,0.8735189873417722,1.1287481849332777,0.9022901244200859,5.5919682396755395,1.0754380583509988,1.3268551151361123,1.3345631993329978,1.5075806203778026
RANK,38.158356622833566,8.867392791123516,4.540074475309176,4.4526727551235155,4.153043999063911,51.48905314549217,4.7750685818906735,3.6361713701974856,3.391876314591571,4.508941331699076
ACC,0.6579075836224876,0.8324150306402414,0.9194332960006408,0.8763288534185817,0.9059452809386473,0.7976582811432008,0.8883886099230606,0.8764650030575982,0.8786248663017302,0.8236835559333172
R2,0.3519779156855346,0.8188250886104758,0.9187483387955262,0.8761144968936613,0.9059110478014601,-0.12143809388687221,0.888386150483133,0.8745802685365769,0.8754701694192432,0.8214749200806735
MSE,422.64374884789044,479.42531392934035,30.16503612371135,9.432303973814445,9.594929156804106,40.92640415249752,7.5209698555670235,7.78234863642583,8.266037149860965,18.684597386974996
RMSE,20.558301215029672,21.895783017040984,5.492270579979773,3.0712056221969974,3.097568265075704,6.3973747859960115,2.7424386694267247,2.7896861179039174,2.8750716773431866,4.322568378519303
MAE,18.192170935619203,19.21500549695521,2.7899793814433007,1.9912927835051568,2.04514948453608,5.846249440644731,1.8140195876288683,1.8519746516475966,1.953449365517529,3.2753393735808527
MDAE,18.192170935619203,19.21500549695521,2.7899793814433007,1.9912927835051568,2.04514948453608,5.846249440644731,1.8140195876288683,1.8519746516475966,1.953449365517529,3.2753393735808527
RANK,2.983641307942267,2.8679724201703682,0.7492022048485212,0.4516164720886317,0.4156195299375534,0.9391414913600692,0.4073568842476468,0.3841763224329531,0.39913935255092897,0.5760546428662724
ACC,0.4338553709084846,0.46283550748008595,0.9372605224370251,0.9809292895123681,0.9800679968397273,0.9819968900460097,0.9858201691187198,0.9848752757176004,0.9843118502712043,0.9655449025898137
R2,0.11771145205539457,-0.0008227147039596705,0.9370290794721672,0.9803096253061488,0.9799701376479254,0.9145642215441906,0.9842996244683805,0.9837539840663726,0.9827442617237626,0.9609950310576656
MSE,69.65773172340278,50.63535367959678,8.400103727272727,7.718613130681816,10.379671132159086,68.41719715577474,8.124244061704548,15.703140296255253,12.350726995470428,12.70179598638847
RMSE,8.34612075897556,7.115852280619433,2.8982932438372635,2.7782392140853918,3.221749700420423,8.271468863253657,2.85030595931464,3.9627188010575836,3.514360111808468,3.5639579102997936
MAE,7.245983858111432,5.768374224348893,1.6775454545454551,1.6396181818181823,1.9705875000000004,7.293234971897272,1.5766943181818187,2.4282990792121604,2.1767438206239182,1.973140502038376
MDAE,7.245983858111432,5.768374224348893,1.6775454545454551,1.6396181818181823,1.9705875000000004,7.293234971897272,1.5766943181818187,2.4282990792121604,2.1767438206239182,1.973140502038376
RANK,2.564066873041968,2.2285313522357626,0.46064187219162367,0.42202580125603445,0.5101234068948716,1.7462257461986452,0.4209339083601605,0.7654059136949449,0.674493200822662,0.6422593654955594
ACC,0.7846307768933397,0.7845622887188703,0.9566196246883641,0.9611358125666712,0.9506404337107608,0.8792358289535314,0.9580331895479272,0.9179146754399918,0.9356199394982697,0.9354950828589409
R2,0.6358753840752873,0.7353118131378842,0.9560898055715285,0.9596521883192946,0.945741934586244,0.6423600794824322,0.9575318177113005,0.9179143536873913,0.9354385563188568,0.933603399498237
