,svr_lr,svr_rbf,dtr,rtr,etr,abr,br,gbr,xgbr,mlpr
MSE,3.9179865305532178,2.2584762674398116,3.6892348431372524,0.6972270003921573,0.4916177224801912,8.935869445388677,0.7273162669607839,2.118926288308905,2.161429463462893,1.5874265974465327
RMSE,1.9793904441906396,1.5028227664764104,1.9207380985280769,0.835001197838756,0.7011545639017057,2.989292465682921,0.8528283924452702,1.4556532170503058,1.4701800785831962,1.2599311875838826
MAE,1.6206788725847865,1.2092772608663038,0.9008823529411762,0.5817705882352944,0.5000385008169922,2.494785165945919,0.6035676470588236,0.9653578551249999,1.0006355151195148,0.9340505765740699
MDAE,1.6206788725847865,1.2092772608663038,0.9008823529411762,0.5817705882352944,0.5000385008169922,2.494785165945919,0.6035676470588236,0.9653578551249999,1.0006355151195148,0.9340505765740699
RANK,2.2210067155651623,1.160695643328205,1.0817957265033107,0.5970512285411609,0.49637486882451604,4.115566132622798,0.5899549282060409,0.8770903673427902,0.8879061907983716,0.9476886170537271
ACC,0.783479715863636,0.8759303971303614,0.8042413771113095,0.9712832780047952,0.981914375247585,0.8401625353478059,0.9707708449786809,0.9122685650647038,0.9166632943195423,0.9346812970262601
R2,0.7786177032837761,0.8723868345983536,0.7915431111541058,0.9606038169157297,0.9722215838006731,0.4950867529661599,0.958903650034725,0.8802719803602864,0.8778703767662095,0.9103038912281527
